stn    time           tre200dx  tre200dn  tre200d0
TAE    20180812           28.4       9.8      19.3
TAE    20180813           24.9      14.1      19.2
TAE    20180814           22.2      13.4      17.9
TAE    20180815           25.0      12.3      18.4
TAE    20180816           27.4      11.3      19.2
TAE    20180817           28.6      13.0      19.1
TAE    20180818           25.9      16.2      20.1
TAE    20180819           27.5      15.1      21.5
TAE    20180820           28.0      15.4      21.6
TAE    20180821           29.3      14.5      21.5
TAE    20180822           30.0      15.0      23.0
TAE    20180823           29.4      17.8      21.7
TAE    20180824           22.4      14.9      18.1
TAE    20180825           15.7      10.8      13.2
TAE    20180826           17.9       6.8      12.1
TAE    20180827           23.9       9.4      17.5
TAE    20180828           26.0      13.4      19.1
TAE    20180829           27.4      12.5      19.0
TAE    20180830           18.0      14.4      16.3
TAE    20180831           15.4      12.8      14.0
TAE    20180901           14.2      11.5      12.9
TAE    20180902           14.9      11.5      13.0
TAE    20180903           20.2      10.6      15.0
TAE    20180904           22.5      10.3      15.7
TAE    20180905           24.2       9.7      16.4
TAE    20180906           23.5      11.3      17.9
TAE    20180907           22.0      11.9      17.3
TAE    20180908           22.5      10.5      15.9
TAE    20180909           25.8       9.0      16.4
TAE    20180910           26.0       9.6      17.2
TAE    20180911           27.7      10.6      18.3
TAE    20180912           28.5      11.0      19.7
TAE    20180913           26.2      14.2      18.8
TAE    20180914           22.1      14.8      17.7
TAE    20180915           21.3      10.6      16.3
TAE    20180916           21.7       9.2      15.3
TAE    20180917           24.8      11.6      17.4
TAE    20180918           25.6      11.3      17.6
TAE    20180919           26.3      11.1      17.7
TAE    20180920           26.0      12.0      18.2
TAE    20180921           26.4      11.5      17.4
TAE    20180922           17.7       9.3      13.5
TAE    20180923           26.2      11.3      19.1
TAE    20180924           13.6       3.4       9.0
TAE    20180925           14.8       2.2       8.5
TAE    20180926           18.8       1.2       9.2
TAE    20180927           21.3       4.6      12.1
TAE    20180928           21.5       6.9      14.6
TAE    20180929           16.0       7.6      12.4
TAE    20180930           21.4       4.9      12.9
TAE    20181001           12.2       7.3       9.5
TAE    20181002           12.2       3.3       8.7
TAE    20181003           15.3       6.9      11.6
TAE    20181004           18.0       6.5      11.3
TAE    20181005           20.6       4.8      11.7
TAE    20181006           21.3       7.8      13.7
TAE    20181007           20.6       9.4      14.4
TAE    20181008           18.8       7.3      12.4
TAE    20181009           17.8       9.7      13.8
TAE    20181010           19.1       7.5      13.3
TAE    20181011           17.3       5.5      11.7
TAE    20181012           22.6       7.1      13.7
TAE    20181013           20.6       7.1      13.0
TAE    20181014           21.6       6.3      12.0
TAE    20181015           22.1       5.0      11.7
TAE    20181016           20.4       4.6      10.7
TAE    20181017           19.8       4.6      10.7
TAE    20181018           17.9       5.5      11.1
TAE    20181019           14.3       5.2       9.5
TAE    20181020           15.3       5.8      10.7
TAE    20181021           14.6       1.6       8.1
TAE    20181022           12.8      -0.5       5.3
TAE    20181023           14.0       0.7       8.6
TAE    20181024           14.8      10.0      11.7
TAE    20181025           17.9       3.3      10.5
TAE    20181026           16.1       4.0       9.9
TAE    20181027            8.0       3.3       5.5
TAE    20181028            3.3       0.7       2.5
TAE    20181029            7.2       2.7       4.7
TAE    20181030            6.8       0.2       4.1
TAE    20181031            7.6      -0.8       3.4
TAE    20181101           13.1       1.9       6.9
TAE    20181102           10.9       2.9       7.6
TAE    20181103           11.0       8.0       9.2
TAE    20181104            8.9       8.2       8.6
TAE    20181105           11.1       3.3       7.1
TAE    20181106           12.9       2.8       7.7
TAE    20181107           14.1       2.7       8.2
TAE    20181108           11.7       8.1      10.0
TAE    20181109           12.0       3.5       8.0
TAE    20181110           10.8       5.6       7.6
TAE    20181111           15.3       4.3       9.0
TAE    20181112           14.3       2.2       7.0
TAE    20181113           13.4       3.1       7.8
TAE    20181114            7.4       5.3       6.3
TAE    20181115            6.6       4.9       5.8
TAE    20181116            4.8       2.6       4.0
TAE    20181117            5.8       0.1       2.8
TAE    20181118            1.0      -2.4      -0.2
TAE    20181119            1.3      -0.3       0.4
TAE    20181120            0.7      -1.7      -0.1
TAE    20181121            1.0      -1.1       0.2
TAE    20181122            6.3      -1.9       1.3
TAE    20181123            2.9      -1.3       1.3
TAE    20181124            9.9      -0.4       4.6
TAE    20181125            3.6      -1.9       1.4
TAE    20181126            3.8       1.7       2.8
TAE    20181127            3.1       0.8       2.2
TAE    20181128            4.2      -1.9       1.4
TAE    20181129            3.8       0.3       1.8
TAE    20181130            8.2      -0.3       4.3
TAE    20181201            8.7       2.7       5.5
TAE    20181202           10.1       5.7       8.1
TAE    20181203           12.9       9.6      11.0
TAE    20181204            9.7       5.6       7.9
TAE    20181205            6.7       4.9       5.8
TAE    20181206           10.5       5.8       8.9
TAE    20181207           11.7       5.6       9.7
TAE    20181208            8.4       4.1       5.9
TAE    20181209            9.9       4.8       6.3
TAE    20181210            5.3       2.5       3.8
TAE    20181211            4.2      -4.5       0.7
TAE    20181212            1.7      -6.5      -2.0
TAE    20181213            1.2      -2.6      -0.8
TAE    20181214           -0.4      -2.7      -1.9
TAE    20181215           -1.4      -6.9      -3.1
TAE    20181216            4.5      -4.8       0.2
TAE    20181217            4.4      -0.9       1.8
TAE    20181218            0.0      -4.3      -2.2
TAE    20181219            3.7      -2.8       0.3
TAE    20181220            6.9       3.5       5.2
TAE    20181221           10.0       4.8       6.5
TAE    20181222           11.4       8.2       9.8
TAE    20181223           10.5       8.0       8.9
TAE    20181224           10.5      -0.9       5.1
TAE    20181225            2.1      -2.9       0.1
TAE    20181226            0.6      -2.6      -1.3
TAE    20181227           -0.4      -3.4      -2.1
TAE    20181228            4.6      -2.4       0.2
TAE    20181229            1.7      -0.5       0.3
TAE    20181230            4.0       1.4       2.6
TAE    20181231            5.7       2.0       4.3

stn    time           tre200dx  tre200dn  tre200d0
ALT    20180101            8.7       0.9       5.6
ALT    20180102            8.6       2.2       5.9
ALT    20180103           17.3       2.3       7.5
ALT    20180104            8.9       2.8       6.0
ALT    20180105           10.1       1.8       6.6
ALT    20180106           15.5       0.6       6.6
ALT    20180107           17.4       3.6      11.4
